website,loc,lastmod,cured_name
GuyInACube,https://www.youtube.com/watch?v=_ggNrxUcCS8,2023 01 18,Allow users to Show and Hide columns in a Power BI Paginated report!
GuyInACube,https://www.youtube.com/watch?v=PsuxE6xExOw,2023 01 17,What is a Common Table Expression (CTE) and how do you use them?
GuyInACube,https://www.youtube.com/watch?v=a-iA6EG9CzQ,2023 01 07,"REPLAY Starting 2023 w/ Marco Russo LIVE (Jan 7, 2023)"
GuyInACube,https://www.youtube.com/watch?v=dlZoy8pQWSU,2023 01 05,"Wait! Using a Power BI Date slicer, what are my dates when using between?"
GuyInACube,https://www.youtube.com/watch?v=_1QGTmtGcP8,2023 01 04,How to handle Aggregation tables with Averages in Power BI
GuyInACube,https://www.youtube.com/watch?v=XkjJo7J8CyQ,2023 01 03,To Surrogate Key or Not...
GuyInACube,https://www.youtube.com/watch?v=ey4ZVKWGZfc,2022 12 17,"REPLAY Power BI tips from the Pros - LIVE (Dec 17, 2022) - Charity Stream"
GuyInACube,https://www.youtube.com/watch?v=-xl-uhgzgEA,2022 12 15,Build a Slicer Panel in Power BI (2022/2023)
GuyInACube,https://www.youtube.com/watch?v=t3Zsdbr-_So,2022 12 14,A Power Query tip for you
GuyInACube,https://www.youtube.com/watch?v=_VxIYKCmrv0,2022 12 13,20221213   Profile with Azure Data Studio
GuyInACube,https://www.youtube.com/watch?v=_n4kG9qpfIs,2022 12 07,Can you make a two-line dynamic title in Power BI?
GuyInACube,https://www.youtube.com/watch?v=Rp7aM42NkMc,2022 12 06,Can you use SQL Auth with Azure Synapse Serverless?
GuyInACube,https://www.youtube.com/watch?v=h-iXZqhD53Y,2022 12 01,Manage Custom Visual purchases for Power BI
GuyInACube,https://www.youtube.com/watch?v=ye4WIJDfdpY,2022 11 30,Can you do Page-Level Security in Power BI?
GuyInACube,https://www.youtube.com/watch?v=GiZKPAAOUuQ,2022 11 29,Azure Synapse Serverless vs Dedicated SQL Pool
GuyInACube,https://www.youtube.com/watch?v=69PY3YzygNk,2022 11 22,Exploring Microsoft Purview for data governance
GuyInACube,https://www.youtube.com/watch?v=WPaCin49eq4,2022 11 16,Writing some DAX while looking at Relationships
GuyInACube,https://www.youtube.com/watch?v=Gw1KqZbDky0,2022 11 12,"REPLAY Power BI tips from the Pros - LIVE w/ Matthew Roche (Nov 12, 2022)"
GuyInACube,https://www.youtube.com/watch?v=amntImKVzic,2022 11 09,Add a measure without Power BI Desktop (Premium)
GuyInACube,https://www.youtube.com/watch?v=OQ8VRRQA4VA,2022 11 08,Have you seen the SQL Admin Pack for Azure Data Studio?
GuyInACube,https://www.youtube.com/watch?v=h8-EdlHN3oc,2022 11 05,"REPLAY Power BI tips from the Pros - LIVE (Nov 5, 2022)"
GuyInACube,https://www.youtube.com/watch?v=jIFCyQdTvgM,2022 11 03,Bring Power BI and Excel together
GuyInACube,https://www.youtube.com/watch?v=7L4bTbj6fM8,2022 11 02,The PERFECT Power BI dataflows use case
GuyInACube,https://www.youtube.com/watch?v=_fCKsorBnTg,2022 11 01,Explaining what a Lakehouse is!
GuyInACube,https://www.youtube.com/watch?v=d8VATPCiUnY,2022 10 29,"REPLAY Power BI tips from the Pros - LIVE (Oct 29, 2022)"
GuyInACube,https://www.youtube.com/watch?v=sgGRMixvNbk,2022 10 27,Does it matter where your Power BI reports are deployed?
GuyInACube,https://www.youtube.com/watch?v=2S6qVQrmzxE,2022 10 26,Make Q&amp;A more effective in Power BI
GuyInACube,https://www.youtube.com/watch?v=xBhjQqUw_TU,2022 10 20,A better way to share Personal Bookmarks in Power BI
GuyInACube,https://www.youtube.com/watch?v=OY9spncfp6I,2022 10 19,Why isn&#39;t my Agg being hit in Power BI???
GuyInACube,https://www.youtube.com/watch?v=rzfmF9wORcQ,2022 10 18,Parameterize your Notebooks in Azure Synapse
GuyInACube,https://www.youtube.com/watch?v=TRL162AkEVs,2022 10 15,"REPLAY Power BI tips from the Pros - LIVE (Oct 15, 2022)"
GuyInACube,https://www.youtube.com/watch?v=282mfZK6C1E,2022 10 13,Office 365 meet Power BI Desktop
GuyInACube,https://www.youtube.com/watch?v=VExWJ6mXLD4,2022 10 12,Let Power Query write your SQL for you!
GuyInACube,https://www.youtube.com/watch?v=ViIHJRTLJ0Y,2022 10 11,Overcoming a concatenation challenge in Azure Synapse
GuyInACube,https://www.youtube.com/watch?v=N0UYKqMpmnQ,2022 10 06,A Power Query feature you may not know about!
GuyInACube,https://www.youtube.com/watch?v=OAlys79j81Q,2022 10 05,Where do you add that new column in any analytics tool?
GuyInACube,https://www.youtube.com/watch?v=uFk3ZJ7Jm0U,2022 10 04,"Save early, save often in Azure Synapse Studio"
GuyInACube,https://www.youtube.com/watch?v=He8xocxq1II,2022 10 01,"REPLAY Power BI tips from the Pros - LIVE w/ Kasper de Jonge (Oct 1, 2022)"
GuyInACube,https://www.youtube.com/watch?v=BUiUrv1qeXU,2022 09 28,Do you even need to use Power Query Functions?
GuyInACube,https://www.youtube.com/watch?v=6aXO_zOMP1U,2022 09 27,Rounding out the lakehouse with the GOLD layer in Azure Synapse
GuyInACube,https://www.youtube.com/watch?v=wJJ31G98aCM,2022 09 22,Answering your questions about the new App Experience!
GuyInACube,https://www.youtube.com/watch?v=R23CrB8MYBk,2022 09 21,"REPLAY Power Platform Conference LIVE!!! (Sept 21, 2022)"
GuyInACube,https://www.youtube.com/watch?v=cqTa7cj5ZBw,2022 09 21,Storytelling with Power BI and PowerPoint
GuyInACube,https://www.youtube.com/watch?v=OHto3FR5484,2022 09 20,Talking DATA end to end with Buck Woody
GuyInACube,https://www.youtube.com/watch?v=BLqJmp3CIHU,2022 09 17,"REPLAY Power BI tips from the Pros - LIVE (Sept 17, 2022)"
GuyInACube,https://www.youtube.com/watch?v=nchNa44o2D4,2022 09 15,Power BI Apps for multiple audiences has arrived!
GuyInACube,https://www.youtube.com/watch?v=vI7kVVHxsiM,2022 09 14,What&#39;s the real size of your data model in Power BI?
GuyInACube,https://www.youtube.com/watch?v=0qywSdK3qoU,2022 09 08,Are you thinking about your tooltips in Power BI?
